run_id,scenario,batch_id,model_name,head_arch,hidden_dim,epochs,lr,dropout,weight_decay,batch,seed,val_f1_macro,val_acc,val_precision_macro,val_recall_macro,val_f1_judi,best_epoch,head_train_time_s,extract_time_s,train_time_s,trainable_params,peak_mem_mb,infer_latency_ms,catatan,overfit_signal,timestamp,delta_vs_best_f1_macro_pp,is_tie_with_best
14,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,5,0.0005,0.1,0.01,32,42,0.942125,0.965763,0.947697,0.936792,0.905138,2,5.26,44.85,50.11,789506,63.5,0.1978,"Tahap 2 RM-b, lr=5e-4 epochs=5 -- lr agresif (2,5x default), anggaran standar -- konvergensi lebih cepat tanpa rugi F1?",True,2026-09-08 01:10:47,-2.6718,False
15,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,10,0.0005,0.1,0.01,32,42,0.949974,0.970043,0.949974,0.949974,0.918288,8,10.39,44.85,55.24,789506,63.5,0.2777,"Tahap 2 RM-b, lr=5e-4 epochs=10 -- lr agresif + anggaran 2x -- rawan overshoot/osilasi loss, cek kestabilan.",True,2026-09-08 01:10:58,-1.8869,False
16,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,20,0.0005,0.1,0.01,32,42,0.958622,0.975749,0.96907,0.948941,0.932,12,20.4,44.85,65.25,789506,63.5,0.2731,"Tahap 2 RM-b, lr=5e-4 epochs=20 -- lr agresif + anggaran besar -- risiko overfit head paling tinggi di grid (head 1024 sudah rentan sejak Tahap 1).",True,2026-09-08 01:11:19,-1.0221,False
17,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,30,0.0005,0.1,0.01,32,42,0.958622,0.975749,0.96907,0.948941,0.932,12,29.88,44.85,74.73,789506,63.5,0.313,"Tahap 2 RM-b, lr=5e-4 epochs=30 -- lr agresif + anggaran maksimum -- sudut grid paling agresif pada lr sedang.",True,2026-09-08 01:11:49,-1.0221,False
18,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,5,0.001,0.1,0.01,32,42,0.944707,0.96719,0.948865,0.940683,0.909449,4,4.55,44.85,49.4,789506,63.5,0.2086,"Tahap 2 RM-b, lr=1e-3 epochs=5 -- lr sangat tinggi (5x default), anggaran minim -- skenario 'cepat & panas', hemat waktu bila berhasil.",True,2026-09-08 01:11:55,-2.4136,False
19,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,10,0.001,0.1,0.01,32,42,0.950124,0.970043,0.94878,0.951483,0.918605,8,9.62,44.85,54.47,789506,63.5,0.2554,"Tahap 2 RM-b, lr=1e-3 epochs=10 -- lr sangat tinggi + anggaran 2x -- cek stabilitas training (loss meledak/NaN?).",True,2026-09-08 01:12:05,-1.8719,False
20,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,20,0.001,0.1,0.01,32,42,0.955041,0.973609,0.964615,0.946122,0.926148,12,20.58,44.85,65.43,789506,63.5,0.2046,"Tahap 2 RM-b, lr=1e-3 epochs=20 -- lr sangat tinggi + anggaran besar -- kombinasi paling berisiko overfit/divergen.",True,2026-09-08 01:12:26,-1.3802,False
21,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,30,0.001,0.1,0.01,32,42,0.955041,0.973609,0.964615,0.946122,0.926148,12,29.96,44.85,74.81,789506,63.5,0.3789,"Tahap 2 RM-b, lr=1e-3 epochs=30 -- lr sangat tinggi + anggaran maksimum -- sudut grid paling ekstrem, batas atas eksplorasi.",True,2026-09-08 01:12:57,-1.3802,False
22,rmb,rmb_tuning_grid_stage3,indobenchmark/indobert-lite-base-p2,mlp,1024,10,0.001,0.0,0.01,32,42,0.949165,0.96933,0.945865,0.952555,0.917148,6,8.8,44.85,53.65,789506,63.5,0.3712,"Tahap 3 RM-b (sel pemenang Tahap 2: hidden_dim=1024, lr=1e-3, epochs=10, val F1-macro 0,9650). dropout=0,0 (vs default 0,1) -- uji apakah head sekecil ini justru dirugikan oleh regularisasi standar BERT.",True,2026-09-08 01:13:08,-1.9678,False
23,rmb,rmb_tuning_grid_stage3,indobenchmark/indobert-lite-base-p2,mlp,1024,10,0.001,0.3,0.01,32,42,0.946644,0.96719,0.935607,0.958789,0.913534,8,10.56,44.85,55.41,789506,63.5,0.1999,"Tahap 3 RM-b, dropout=0,3 (vs default 0,1) -- regularisasi lebih kuat; walau overfit_signal Tahap 2 di sel ini sebetulnya plateau bukan penurunan performa, tetap layak dicek.",True,2026-09-08 01:13:19,-2.2199,False
24,rmb,rmb_tuning_grid_stage3,indobenchmark/indobert-lite-base-p2,mlp,1024,10,0.001,0.1,0.0,32,42,0.955863,0.973609,0.956554,0.955175,0.927875,8,9.81,44.85,54.66,789506,63.5,0.3033,"Tahap 3 RM-b, weight_decay=0,0 (vs default 0,01) -- AdamW decoupled weight decay (Loshchilov & Hutter) -- cek apakah regularisasi ini bahkan berpengaruh pada head sekecil ini.",True,2026-09-08 01:13:29,-1.298,False
25,rmb,rmb_tuning_grid_stage3,indobenchmark/indobert-lite-base-p2,mlp,1024,10,0.001,0.1,0.1,32,42,0.949465,0.96933,0.943645,0.955572,0.917782,8,10.3,44.85,55.15,789506,63.5,0.2069,"Tahap 3 RM-b, weight_decay=0,1 (vs default 0,01) -- regularisasi 10x lebih kuat, sama semangatnya dengan Tahap 2 RM-a.",True,2026-09-08 01:13:40,-1.9378,False
26,rmb,rmb_tuning_grid_stage3,indobenchmark/indobert-lite-base-p2,mlp,1024,10,0.001,0.1,0.01,16,42,0.951622,0.971469,0.958813,0.944812,0.920635,9,18.56,44.85,63.41,789506,63.4,0.314,"Tahap 3 RM-b, batch=16 (vs default 32) -- RM-a membuktikan batch=32 unggul dari 16; dicek ulang di RM-b karena training di atas fitur beku (tanpa grad-accum) punya dinamika update berbeda.",True,2026-09-08 01:13:59,-1.7221,False
27,rmb,rmb_tuning_grid_stage3,indobenchmark/indobert-lite-base-p2,mlp,1024,10,0.001,0.1,0.01,64,42,0.952312,0.972183,0.965035,0.940722,0.921529,10,5.87,44.85,50.72,789506,63.6,0.3765,"Tahap 3 RM-b, batch=64 (vs default 32) -- batch lebih besar lagi, apakah tren 'batch besar menang' dari RM-a berlanjut atau ada titik baliknya.",False,2026-09-08 01:14:05,-1.6531,False
