source,run_id,scenario,model_name,batch_id,head_arch,hidden_dim,epochs,lr,dropout,weight_decay,batch,seed,val_f1_macro,val_acc,val_precision_macro,val_recall_macro,val_f1_judi,best_epoch,head_train_time_s,extract_time_s,train_time_s,trainable_params,peak_mem_mb,infer_latency_ms,catatan,overfit_signal,timestamp,delta_vs_best_f1_macro_pp,is_tie_with_best,test_accuracy,test_f1_macro,test_f1_class1,test_precision_class1,test_recall_class1
vast,11,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,5,0.0001,0.1,0.01,32,42,0.941266,0.963623,0.92769,0.956605,0.905028,5,1.51,7.9,9.41,789506,63.9,0.077,"Tahap 2 RM-b (hidden_dim*=1024 dari Tahap 1), lr=1e-4 epochs=5 -- lr konservatif (setengah default), anggaran standar -- cek underfit.",False,2026-07-25 09:42:33,-1.3057,False,,,,,
vast,12,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,10,0.0001,0.1,0.01,32,42,0.956127,0.973609,0.954095,0.958192,0.928433,10,3.63,7.9,11.53,789506,63.9,0.087,"Tahap 2 RM-b, lr=1e-4 epochs=10 -- lr konservatif + anggaran 2x -- beri waktu ekstra untuk konvergen.",False,2026-07-25 09:42:37,0.1804,False,,,,,
vast,13,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,20,0.0001,0.1,0.01,32,42,0.961177,0.977175,0.970084,0.952832,0.936255,18,6.64,7.9,14.54,789506,63.9,0.1297,"Tahap 2 RM-b, lr=1e-4 epochs=20 -- lr konservatif + anggaran besar -- batas atas kompensasi lr kecil.",True,2026-07-25 09:42:44,0.505,False,,,,,
vast,14,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,30,0.0001,0.1,0.01,32,42,0.962794,0.977889,0.96638,0.959304,0.939096,23,11.4,7.9,19.3,789506,63.9,0.13,"Tahap 2 RM-b, lr=1e-4 epochs=30 -- lr konservatif + anggaran maksimum -- masih naik atau sudah plateau di 20?",True,2026-07-25 09:42:56,0.1617,False,,,,,
vast,15,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,10,0.0002,0.1,0.01,32,42,0.961769,0.977175,0.963178,0.960376,0.9375,9,3.45,7.9,11.35,789506,63.9,0.0805,"Tahap 2 RM-b, lr=2e-4 (default) epochs=10 -- anggaran 2x dari Tahap 1 run #10 (epochs=5, val_f1_macro=0,954323) -- apakah val F1 masih naik setelah epoch 5?",True,2026-07-25 09:43:00,-0.1025,True,,,,,
vast,16,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,20,0.0002,0.1,0.01,32,42,0.962908,0.977889,0.965037,0.960813,0.939335,15,7.71,7.9,15.61,789506,63.9,0.1198,"Tahap 2 RM-b, lr=2e-4 (default) epochs=20 -- anggaran besar -- titik potensial mulai overfit pada head 1024 (sudah muncul sinyal overfit di epochs=5 saat Tahap 1).",True,2026-07-25 09:43:08,0.0114,True,,,,,
vast,17,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,30,0.0002,0.1,0.01,32,42,0.963716,0.978602,0.971099,0.956723,0.940476,22,12.01,7.9,19.91,789506,63.9,0.1245,"Tahap 2 RM-b, lr=2e-4 (default) epochs=30 -- anggaran maksimum pada lr kanonik -- batas atas eksplorasi epoch.",True,2026-07-25 09:43:20,0.0808,True,,,,,
vast,18,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,5,0.0005,0.1,0.01,32,42,0.957865,0.975036,0.962885,0.95303,0.930966,4,1.97,7.9,9.87,789506,63.9,0.1282,"Tahap 2 RM-b, lr=5e-4 epochs=5 -- lr agresif (2,5x default), anggaran standar -- konvergensi lebih cepat tanpa rugi F1?",True,2026-07-25 09:43:23,-0.5851,False,,,,,
vast,19,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,10,0.0005,0.1,0.01,32,42,0.961297,0.977175,0.968642,0.95434,0.936508,6,3.91,7.9,11.81,789506,63.9,0.1148,"Tahap 2 RM-b, lr=5e-4 epochs=10 -- lr agresif + anggaran 2x -- rawan overshoot/osilasi loss, cek kestabilan.",True,2026-07-25 09:43:27,-0.2419,False,,,,,
vast,20,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,20,0.0005,0.1,0.01,32,42,0.964049,0.978602,0.966911,0.961249,0.941176,12,7.31,7.9,15.21,789506,63.9,0.0834,"Tahap 2 RM-b, lr=5e-4 epochs=20 -- lr agresif + anggaran besar -- risiko overfit head paling tinggi di grid (head 1024 sudah rentan sejak Tahap 1).",True,2026-07-25 09:43:34,0.0333,True,,,,,
vast,21,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,30,0.0005,0.1,0.01,32,42,0.964049,0.978602,0.966911,0.961249,0.941176,12,11.86,7.9,19.76,789506,63.9,0.1178,"Tahap 2 RM-b, lr=5e-4 epochs=30 -- lr agresif + anggaran maksimum -- sudut grid paling agresif pada lr sedang.",True,2026-07-25 09:43:47,0.0,True,,,,,
vast,22,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,5,0.001,0.1,0.01,32,42,0.959502,0.975749,0.959502,0.959502,0.933852,5,1.86,7.9,9.76,789506,63.9,0.1391,"Tahap 2 RM-b, lr=1e-3 epochs=5 -- lr sangat tinggi (5x default), anggaran minim -- skenario 'cepat & panas', hemat waktu bila berhasil.",False,2026-07-25 09:43:49,-0.4547,False,,,,,
vast,23,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,10,0.001,0.1,0.01,32,42,0.96498,0.979315,0.971606,0.958668,0.942574,6,3.97,7.9,11.87,789506,63.9,0.1051,"Tahap 2 RM-b, lr=1e-3 epochs=10 -- lr sangat tinggi + anggaran 2x -- cek stabilitas training (loss meledak/NaN?).",True,2026-07-25 09:43:53,0.0931,True,,,,,
vast,24,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,20,0.001,0.1,0.01,32,42,0.96498,0.979315,0.971606,0.958668,0.942574,6,7.91,7.9,15.81,789506,63.9,0.1156,"Tahap 2 RM-b, lr=1e-3 epochs=20 -- lr sangat tinggi + anggaran besar -- kombinasi paling berisiko overfit/divergen.",True,2026-07-25 09:44:01,0.0,True,,,,,
vast,25,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094222,mlp,1024,30,0.001,0.1,0.01,32,42,0.96498,0.979315,0.971606,0.958668,0.942574,6,11.71,7.9,19.61,789506,63.9,0.1239,"Tahap 2 RM-b, lr=1e-3 epochs=30 -- lr sangat tinggi + anggaran maksimum -- sudut grid paling ekstrem, batas atas eksplorasi.",True,2026-07-25 09:44:13,0.0,True,,,,,
vast,26,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094817,mlp,1024,10,0.001,0.0,0.01,32,42,0.960634,0.976462,0.961333,0.959939,0.935673,10,2.95,7.9,10.85,789506,63.9,0.0797,"Tahap 3 RM-b (sel pemenang Tahap 2: hidden_dim=1024, lr=1e-3, epochs=10, val F1-macro 0,9650). dropout=0,0 (vs default 0,1) -- uji apakah head sekecil ini justru dirugikan oleh regularisasi standar BERT.",False,2026-07-25 09:48:28,-0.4346,False,,,,,
vast,27,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094817,mlp,1024,10,0.001,0.3,0.01,32,42,0.963828,0.978602,0.969672,0.958232,0.940711,6,3.57,7.9,11.47,789506,63.9,0.1087,"Tahap 3 RM-b, dropout=0,3 (vs default 0,1) -- regularisasi lebih kuat; walau overfit_signal Tahap 2 di sel ini sebetulnya plateau bukan penurunan performa, tetap layak dicek.",True,2026-07-25 09:48:32,-0.1152,True,,,,,
vast,28,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094817,mlp,1024,10,0.001,0.1,0.0,32,42,0.965301,0.979315,0.967441,0.963195,0.943249,6,3.75,7.9,11.65,789506,63.9,0.1287,"Tahap 3 RM-b, weight_decay=0,0 (vs default 0,01) -- AdamW decoupled weight decay (Loshchilov & Hutter) -- cek apakah regularisasi ini bahkan berpengaruh pada head sekecil ini.",True,2026-07-25 09:48:36,0.0321,True,,,,,
vast,29,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094817,mlp,1024,10,0.001,0.1,0.1,32,42,0.960272,0.976462,0.965319,0.955413,0.934911,10,3.46,7.9,11.36,789506,63.9,0.0753,"Tahap 3 RM-b, weight_decay=0,1 (vs default 0,01) -- regularisasi 10x lebih kuat, sama semangatnya dengan Tahap 2 RM-a.",False,2026-07-25 09:48:40,-0.5029,False,,,,,
vast,30,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094817,mlp,1024,10,0.001,0.1,0.01,16,42,0.957067,0.975036,0.971595,0.943977,0.929293,7,5.39,7.9,13.29,789506,63.8,0.1193,"Tahap 3 RM-b, batch=16 (vs default 32) -- RM-a membuktikan batch=32 unggul dari 16; dicek ulang di RM-b karena training di atas fitur beku (tanpa grad-accum) punya dinamika update berbeda.",True,2026-07-25 09:48:46,-0.8234,False,,,,,
vast,31,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_094817,mlp,1024,10,0.001,0.1,0.01,64,42,0.963603,0.978602,0.972557,0.955214,0.940239,9,1.45,7.9,9.35,789506,64.0,0.0767,"Tahap 3 RM-b, batch=64 (vs default 32) -- batch lebih besar lagi, apakah tren 'batch besar menang' dari RM-a berlanjut atau ada titik baliknya.",True,2026-07-25 09:48:47,-0.1698,False,,,,,
cheap_head,1,rmb,indobenchmark/indobert-base-p2,,linear,256,5,0.0002,0.1,0.01,32,42,0.912507,0.944365,0.891506,0.93878,0.859712,5,1.91,29.9,31.81,1538,40.6,0.056,"Reproduksi run#1 (linear, cost termurah) untuk eksplorasi RM-c dengan head murah",False,2026-08-03 14:05:48,,,,,,,
candidate2,1,rmb,indobenchmark/indobert-base-p2,,mlp,1024,10,0.001,0.1,0.01,32,42,0.96498,0.979315,0.971606,0.958668,0.942574,6,2.54,7.9,10.44,789506,64.4,0.0772,Kandidat #2 RM-B performa (run#23 historis): sama dengan run#28 kecuali weight_decay=0.01,True,2026-08-03 08:06:56,,,0.972954,0.954062,0.924603,0.939516,0.910156
candidate2,2,rmb,indobenchmark/indobert-base-p2,,mlp,1024,10,0.001,0.1,0.0,32,42,0.965301,0.979315,0.967441,0.963195,0.943249,6,2.48,7.9,10.38,789506,63.9,0.0725,"Reproduksi head resmi run#28 (mlp/1024, wd=0.0) di out_dir ini -- jadi juara baru (val lebih tinggi dari kandidat #2 di atas), checkpoint-nya dipakai step 4",True,2026-08-03 08:07:05,0.0321,True,,,,,
