source,run_id,scenario,model_name,batch_id,lr,epochs,batch,warmup_ratio,weight_decay,micro_batch,seed,micro_batch_eff,grad_accum,val_f1_macro,val_acc,val_precision_macro,val_recall_macro,val_f1_judi,best_epoch,train_time_s,peak_mem_mb,trainable_params,catatan,overfit_signal,timestamp,delta_vs_best_f1_macro_pp,is_tie_with_best,test_accuracy,test_f1_macro,test_f1_class1,test_precision_class1,test_recall_class1
vast,13,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,2e-05,5,32,0.1,0.01,32,42,32,1,0.98216,0.989301,0.981437,0.982888,0.970874,4,81.1,3091.8,109485314,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=5 / batch=32; warmup 0.1 & wd 0.01 dikunci. Pasangan langsung #1, batch digandakan -- inti uji interaksi lr x batch.",True,2026-07-25 08:32:00,0.3665,False,,,,,
vast,14,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,2e-05,3,32,0.1,0.01,32,42,32,1,0.973474,0.984308,0.979439,0.96776,0.956522,3,49.0,3098.3,109485314,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=3 / batch=32; warmup 0.1 & wd 0.01 dikunci. Anggaran paling minim di grid -- batas bawah ekstrem.",False,2026-07-25 08:32:53,-0.8686,False,,,,,
vast,15,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,2e-05,8,32,0.1,0.01,32,42,32,1,0.973556,0.984308,0.977982,0.969269,0.956693,3,129.2,3098.3,109485314,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=8 / batch=32; warmup 0.1 & wd 0.01 dikunci. Batch besar + epoch terbanyak; gradien lebih halus dari #1.",True,2026-07-25 08:35:04,-0.8604,False,,,,,
vast,16,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,1e-05,5,32,0.1,0.01,32,42,32,1,0.976033,0.985735,0.978968,0.97316,0.960784,3,81.4,3098.3,109485314,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=5 / batch=32; warmup 0.1 & wd 0.01 dikunci. lr terkecil + update sedikit -- kandidat underfit terkuat.",True,2026-07-25 08:36:28,-0.6127,False,,,,,
vast,17,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,1e-05,3,32,0.1,0.01,32,42,32,1,0.974873,0.985021,0.977057,0.972724,0.958904,2,49.0,3098.3,109485314,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=3 / batch=32; warmup 0.1 & wd 0.01 dikunci. Sel paling konservatif -- jangkar batas bawah.",True,2026-07-25 08:37:21,-0.7287,False,,,,,
vast,18,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,1e-05,8,32,0.1,0.01,32,42,32,1,0.979597,0.987874,0.983313,0.975979,0.966601,6,130.5,3098.3,109485314,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=8 / batch=32; warmup 0.1 & wd 0.01 dikunci. Cukupkah epoch maksimum mengompensasi lr rendah + batch besar?",True,2026-07-25 08:39:33,-0.2563,False,,,,,
vast,19,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,3e-05,5,32,0.1,0.01,32,42,32,1,0.97843,0.987161,0.981379,0.975542,0.964706,5,81.4,3098.3,109485314,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=5 / batch=32; warmup 0.1 & wd 0.01 dikunci. Uji linear scaling rule: 3e-5 kalahkan 2e-5 saat batch digandakan?",False,2026-07-25 08:40:57,-0.373,False,,,,,
vast,20,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,3e-05,3,32,0.1,0.01,32,42,32,1,0.979597,0.987874,0.983313,0.975979,0.966601,3,48.8,3098.3,109485314,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=3 / batch=32; warmup 0.1 & wd 0.01 dikunci. lr tengah + anggaran minim -- efisiensi ekstrem.",False,2026-07-25 08:41:48,-0.2563,False,,,,,
vast,21,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,3e-05,8,32,0.1,0.01,32,42,32,1,0.977266,0.986448,0.979461,0.975106,0.962818,5,130.0,3098.3,109485314,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=8 / batch=32; warmup 0.1 & wd 0.01 dikunci. lr tengah + batch besar + epoch maksimum -- kandidat seimbang.",True,2026-07-25 08:44:01,-0.4894,False,,,,,
vast,22,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,5e-05,5,32,0.1,0.01,32,42,32,1,0.974949,0.985021,0.975669,0.974232,0.959064,4,81.6,3098.3,109485314,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=5 / batch=32; warmup 0.1 & wd 0.01 dikunci. Prediksi linear scaling: lr tinggi paling masuk akal di batch besar.",True,2026-07-25 08:45:24,-0.7211,False,,,,,
vast,23,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,5e-05,3,32,0.1,0.01,32,42,32,1,0.971327,0.982882,0.972764,0.969905,0.953125,1,48.6,3098.3,109485314,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=3 / batch=32; warmup 0.1 & wd 0.01 dikunci. lr agresif + update paling sedikit -- batas forgetting anggaran minim.",True,2026-07-25 08:46:15,-1.0833,False,,,,,
vast,24,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,5e-05,8,32,0.1,0.01,32,42,32,1,0.973474,0.984308,0.979439,0.96776,0.956522,8,130.3,3098.3,109485314,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=8 / batch=32; warmup 0.1 & wd 0.01 dikunci. Sudut grid berlawanan dari #17 -- lr maksimum, anggaran besar.",False,2026-07-25 08:48:27,-0.8686,False,,,,,
vast,25,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_090334,2e-05,5,32,0.0,0.01,32,42,32,1,0.977266,0.986448,0.979461,0.975106,0.962818,5,81.7,3085.3,109485314,"Coordinate descent Tahap 2 pada sel pemenang Tahap 1 (run #13: lr=2e-05/epochs=5/batch=32, val F1-macro 0,9822). warmup_ratio=0.0 (vs 0.1 baseline) -- uji apakah warmup memang perlu, sekaligus menutup risiko sisa interaksi lr x warmup.",False,2026-07-25 09:05:08,-0.4894,False,,,,,
vast,26,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_090334,2e-05,5,32,0.1,0.1,32,42,32,1,0.98216,0.989301,0.981437,0.982888,0.970874,4,80.8,3112.1,109485314,Coordinate descent Tahap 2 pada sel pemenang Tahap 1 (run #13). weight_decay=0.1 (vs 0.01 baseline) -- regularisasi lebih kuat; relevan karena run #13 sendiri menunjukkan overfit_signal=True (puncak di epoch 4/5).,True,2026-07-25 09:06:31,0.0,True,,,,,
candidate2,1,rma,indobenchmark/indobert-base-p2,,2e-05,5,32,0.1,0.1,32,42,32,1,0.98216,0.989301,0.981437,0.982888,0.970874,4,82.9,3085.3,109485314,Kandidat #2 RM-A (run#26 historis): sama dengan run#13 kecuali weight_decay=0.10 -- seri persis val F1 dengan kandidat #1,True,2026-08-03 08:06:37,,,0.976512,0.960772,0.935922,0.930502,0.941406
