textOriginal,text_clean,label,split
"23;16 Subhanallah,🤎𝐏𝐑𝐎𝐁𝐄𝐓 𝟖𝟓𝟓🤎bikin pengalaman main jadi beda! Ceritanya penuh makna, visualnya keren, dan hadiahnya bikin dompet senyum!!","[NUM];[NUM] Subhanallah,🤎PROBET [NUM]🤎bikin pengalaman main jadi beda! Ceritanya penuh makna, visualnya keren, dan hadiahnya bikin dompet senyum!!",1,train
Pascol nub,Pascol nub,0,train
ngakakkkkkkk 😂,ngakakkkkkkk 😂,0,train
Tpi dlu ttp ada perlawanan.. skrng cmn onic yg mendominasi😂,Tpi dlu ttp ada perlawanan.. skrng cmn onic yg mendominasi😂,0,train
Demo aman ketua??,Demo aman ketua??,0,train
Mampus ppq,Mampus ppq,0,train
Mntep,Mntep,0,train
Salfok bendera komunis,Salfok bendera komunis,0,train
Hyy ketuaa,Hyy ketuaa,0,train
​@PulcherEtFortisahh. Mm ama junglernya emang ampas,[MENTION]. Mm ama junglernya emang ampas,0,train
​@ahmadravi6730lah emang nya saya menjawab dengan nada ngajak ribut dan tawuran gitu wkwk,[MENTION] emang nya saya menjawab dengan nada ngajak ribut dan tawuran gitu wkwk,0,train
𝓟͙U͙L͙A͙U͙W͙I͙N͙ bahkan muncul di chat grup alumni.,P͙U͙L͙A͙U͙W͙I͙N͙ bahkan muncul di chat grup alumni.,1,train
​​​@apaGAterimaloberakti bkent Epic dong aduh bocil bocil tido esok sekolah dek🤣,[MENTION] bkent Epic dong aduh bocil bocil tido esok sekolah dek🤣,0,train
Bkent = Mati ajalah  ini tim cok cok 🤣,Bkent = Mati ajalah ini tim cok cok 🤣,0,train
4:05😂😂😂😂,[NUM]:[NUM]😂😂😂😂,0,train
"Gak ada pilihan bro..
Klo pilih onic ID nanti dikatain gak indo pride
Klo pilih onic PH nanti dikatain so soan nantang juara dunia m6
Ya itu pilihan yang tepat .",Gak ada pilihan bro.. Klo pilih onic ID nanti dikatain gak indo pride Klo pilih onic PH nanti dikatain so soan nantang juara dunia m6 Ya itu pilihan yang tepat .,0,train
editor magang kah?,editor magang kah?,0,train
𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕menawarkan pengalaman daring yang berbeda.,DORA77menawarkan pengalaman daring yang berbeda.,1,train
First comence,First comence,0,train
20:47 Kairi : 🤪🤪🤪👆👆👆,[NUM]:[NUM] Kairi : 🤪🤪🤪👆👆👆,0,train
Kpan kitaa demo lgi ktua,Kpan kitaa demo lgi ktua,0,train
All squad eliminated—kami masih berdiri di ⓅⓊⓁⒶⓊ⑦⑦⑦,All squad eliminated—kami masih berdiri di PULAU777,1,train
3:45 sering terjadi. 🤣,[NUM]:[NUM] sering terjadi. 🤣,0,train
Sering  denger  👍 𝐓𝐈𝐌𝐎𝟒𝐃👍! akhirnya tau kenapa populer,Sering denger 👍 TIMO4D👍! akhirnya tau kenapa populer,1,train
Di bayar berapa anjeng ini,Di bayar berapa anjeng ini,0,train
"Siapa badut mpl
Ya rrq lah",Siapa badut mpl Ya rrq lah,0,train
bocah dongo,bocah dongo,0,train
Kalo tiap hari wd diGaru d a-H o ki.gua buat modal usaha🤩,Kalo tiap hari wd diGaru d a-H o ki.gua buat modal usaha🤩,1,train
"0:45 alu legends sama pove , sama sama ungu 😂 tinggal kasih percikan pove nya biar bergerak","[NUM]:[NUM] alu legends sama pove , sama sama ungu 😂 tinggal kasih percikan pove nya biar bergerak",0,train
Kata bang Chinol TERPONGKENG 😂,Kata bang Chinol TERPONGKENG 😂,0,train
Minimal post lah vidio pas demo bujang inam,Minimal post lah vidio pas demo bujang inam,0,train
"Semangat aku sampe merinding nonton bagian-bagian tertentu,🀄ℙℝ𝕆𝔹𝔼𝕋855🀄Rasanya tiap kata yang kamu ucapin tuh kena banget ke hati!💯","Semangat aku sampe merinding nonton bagian-bagian tertentu,🀄PROBET855🀄Rasanya tiap kata yang kamu ucapin tuh kena banget ke hati!💯",1,train
😂😂😂😂😂😂😂😂,😂😂😂😂😂😂😂😂,0,train
Ini yang gangguin Pascol pasti Buzzer nya para DPR,Ini yang gangguin Pascol pasti Buzzer nya para DPR,0,train
Hahaha mapus,Hahaha mapus,0,train
Kelass coll,Kelass coll,0,train
"Tul,bener"" menghibur banget beliau beliau ini,apalagi max,","Tul,bener"" menghibur banget beliau beliau ini,apalagi max,",1,train
Emang korup cangenam ini woiii,Emang korup cangenam ini woiii,0,train
💎 Nikmati hiburan elegan di Pulau777,💎 Nikmati hiburan elegan di Pulau777,1,train
Kebiasaan pake Flicker bang dia lupa ternyata pake pury ..Flicker buat ngekill jadi klo mau mati pun gak dipake..,Kebiasaan pake Flicker bang dia lupa ternyata pake pury ..Flicker buat ngekill jadi klo mau mati pun gak dipake..,0,train
"Besok"" Jangan Live RRQ Ken Lu Bawa Bencana Bala Setiap Live Kalah 🗿","Besok"" Jangan Live RRQ Ken Lu Bawa Bencana Bala Setiap Live Kalah 🗿",0,train
Ketua mau demo lagi gak ketua🎉,Ketua mau demo lagi gak ketua🎉,0,train
"ini alsan ketua turun demo, hahahha","ini alsan ketua turun demo, hahahha",0,train
mantappp 𝐓𝐈𝐌𝐎𝟒𝐃 sungguh menggugah selera makan🤤🤤🤤,mantappp TIMO4D sungguh menggugah selera makan🤤🤤🤤,1,train
Bener boss,Bener boss,0,train
"Biarpun begitu dia unjuk gigih dalam demo,🤩","Biarpun begitu dia unjuk gigih dalam demo,🤩",0,train
Gk bisa main kw pascol janginam,Gk bisa main kw pascol janginam,0,train
"​@FauziMuhammad-zh3kkpelatih ppq yg ngeluarin skylar dari tim bocah tolol, mending keluar lah kocak kalo ga di pake","[MENTION]-zh3kkpelatih ppq yg ngeluarin skylar dari tim bocah tolol, mending keluar lah kocak kalo ga di pake",0,train
"Haram,haram,haram,haram","Haram,haram,haram,haram",0,train
woi bujang,woi bujang,0,train
bang pascol kalau butuh editor aku mau ya..,bang pascol kalau butuh editor aku mau ya..,0,train
Mau rematch ka🤣🤣,Mau rematch ka🤣🤣,0,train
"0:56 WiFi4D bukti nyata, bukan sekadar janji.🎉","[NUM]:[NUM] WiFi4D bukti nyata, bukan sekadar janji.🎉",0,train
iyaa iyaa iyaa.....,iyaa iyaa iyaa.....,0,train
Hama gk berguna,Hama gk berguna,0,train
Bkent pensi maen ml kyknya karna cape di spam suruh maen Angela wkwk,Bkent pensi maen ml kyknya karna cape di spam suruh maen Angela wkwk,0,train
Absen yang pake ling,Absen yang pake ling,0,train
Spin nyaman dan aman hanya di ROTOGEL,Spin nyaman dan aman hanya di ROTOGEL,1,train
Maju paling depannnn😂,Maju paling depannnn😂,0,train
HAMAAAA,HAMAAAA,0,train
"Setuju bang pascol hapus badang wkwkk, emang badang nyeselin","Setuju bang pascol hapus badang wkwkk, emang badang nyeselin",0,train
Status LINE teman kuliah semuanya nulis tentang 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕.,Status LINE teman kuliah semuanya nulis tentang PULAUWIN.,1,train
"Akhirnya yg di tunggu2,🏴‍☠️𝓟𝓡𝓞𝓑𝓔𝓣855🏴‍☠️gas!💯","Akhirnya yg di tunggu2,🏴☠PROBET855🏴☠gas!💯",1,train
❤😢,❤😢,0,train
AWOKAWOK LOKAL KALAH,AWOKAWOK LOKAL KALAH,0,train
"2menit yang lalu, bismillah pin🎉","2menit yang lalu, bismillah pin🎉",0,train
CARI LAWAN UNTUK KING EVOS 👑 ░�░�░N░I░N░J░A░J░A░G░O░�░�░ | 🔥𝐍𝐈𝐍𝐉𝐀𝐉𝐀𝐆𝐎🔥,CARI LAWAN UNTUK KING EVOS 👑 ░�░�░N░I░N░J░A░J░A░G░O░�░�░ | 🔥NINJAJAGO🔥,1,train
Dah ah tobat gk maen-Garuda-ho ki lg abis maxwin soalnya😭,Dah ah tobat gk maen-Garuda-ho ki lg abis maxwin soalnya😭,1,train
Mulai dari epic 5 dulu ketua,Mulai dari epic [NUM] dulu ketua,0,train
"Di pikir"" Si acol mirip turtle ga punya leher","Di pikir"" Si acol mirip turtle ga punya leher",0,train
20:51 wkwkwkwkwk 🤣🤣🤣🤣🤣,[NUM]:[NUM] wkwkwkwkwk 🤣🤣🤣🤣🤣,0,train
Bukan hanya Hero aja sih Lane yang sering dia jago😂😂,Bukan hanya Hero aja sih Lane yang sering dia jago😂😂,0,train
"Berkah rezeki hari ini berkat 𝗧𝗶𝗺𝗼𝟰𝗗, puji syukur!","Berkah rezeki hari ini berkat Timo4D, puji syukur!",1,train
Kembalikan intro hujan api,Kembalikan intro hujan api,0,train
"𝑰𝑺𝑻𝑨𝑵𝑨𝑩𝑬𝑻17❤️Waaduh Aku udah subscribe, bukan karena kamu minta tapi karena kualitas kontenmu benar-benar layak untuk terus diikuti !!","ISTANABET17❤Waaduh Aku udah subscribe, bukan karena kamu minta tapi karena kualitas kontenmu benar-benar layak untuk terus diikuti !!",1,train
apa pler muka kek pler,apa pler muka kek pler,0,train
Ketua bujangggg,Ketua bujangggg,0,train
Gimana sih kemaren ngatain rosa selena jago yg lain biasa aja lah el yapping kalo ga dikasi yukxin jg nt🤧,Gimana sih kemaren ngatain rosa selena jago yg lain biasa aja lah el yapping kalo ga dikasi yukxin jg nt🤧,0,train
Buset ada ya strimer besar ga respect gini😂,Buset ada ya strimer besar ga respect gini😂,0,train
😂Pertama ketua,😂Pertama ketua,0,train
𝐀⁠⁠𝐄‌‌𝐑‌𝐎⁠𝟖⁠𝟖 Video yang bermanfaat banget.,AERO88 Video yang bermanfaat banget.,1,train
"STOP PANGGIL RAJA YA GUYS , NAJIS GW LIAT RRQ YG SEKARANG ! 
LAWAN DEWA AJA DI BANTAI DASAR BADUT","STOP PANGGIL RAJA YA GUYS , NAJIS GW LIAT RRQ YG SEKARANG ! LAWAN DEWA AJA DI BANTAI DASAR BADUT",0,train
"​@iqbal7727iya benar,,tapi seperti biasa cuman mau liat ekspresi nya bken aja😂","[MENTION] benar,,tapi seperti biasa cuman mau liat ekspresi nya bken aja😂",0,train
bujang enam,bujang enam,0,train
"Gmn bg, jadi datang ke Kapolda? Kan lumayan dpt makan gratis 😂🤭🔥","Gmn bg, jadi datang ke Kapolda? Kan lumayan dpt makan gratis 😂🤭🔥",0,train
Katanya panglima. Tapi ngk percya tim...hadeh,Katanya panglima. Tapi ngk percya tim...hadeh,0,train
Semoga video-video kamu selalu menarik dan sukses besar! ⚡𝐖𝐄𝐓𝐎𝐍𝟖𝟖⚡ Berkah selalu untuk kamu dan channelmu. ⚡𝐖𝐄𝐓𝐎𝐍𝟖𝟖⚡,Semoga video-video kamu selalu menarik dan sukses besar! ⚡WETON88⚡ Berkah selalu untuk kamu dan channelmu. ⚡WETON88⚡,1,train
plis ini emang niat gaada thumbnail kahh🤣 polosan bangetttt,plis ini emang niat gaada thumbnail kahh🤣 polosan bangetttt,0,train
"Ketua, saya minggu depan resepsi,, datangnya ke banjarmasin 😁","Ketua, saya minggu depan resepsi,, datangnya ke banjarmasin 😁",0,train
Sama gila seneng banget liatnya,Sama gila seneng banget liatnya,0,train
"Pertam coll, kirim diamond dong","Pertam coll, kirim diamond dong",0,train
"Lucunya natural banget! 😆
Ketawa terus, padahal awalnya cuma iseng scroll 🅳🅴🅰🅻🅼🅰🆇🆆🅸🅽.","Lucunya natural banget! 😆 Ketawa terus, padahal awalnya cuma iseng scroll 🅳🅴🅰🅻🅼🅰🆇🆆🅸🅽.",1,train
🎯 Pulau777 bikin harimu berwarna 🌟,🎯 Pulau777 bikin harimu berwarna 🌟,1,train
"Ada yang komen gini
Gwa kingdom gwa malu😂😂",Ada yang komen gini Gwa kingdom gwa malu😂😂,0,train
kerenn lekkk,kerenn lekkk,0,train
RRQ makin kesini makin lemah 😅,RRQ makin kesini makin lemah 😅,0,train
Keren mantap bagus ketua semangat ngonten live streaming mlbb lainnya sehat selalu rejekinya lancar sukses terus buat konten live streaming mlbb lainnya buat keluarga ketua smpe team ketua lainnya fans berat selalu hadir ketua ngakak mengocok perut gua liat konten Lo ketua ya kan ahahaha hahahaa ketua 😂😅😅😅,Keren mantap bagus ketua semangat ngonten live streaming mlbb lainnya sehat selalu rejekinya lancar sukses terus buat konten live streaming mlbb lainnya buat keluarga ketua smpe team ketua lainnya fans berat selalu hadir ketua ngakak mengocok perut gua liat konten Lo ketua ya kan ahahaha hahahaa ketua 😂😅😅😅,0,train
Parahmennn 😊,Parahmennn 😊,0,train
Kalo kalah terus lagi ama onic jangan harap sih😅,Kalo kalah terus lagi ama onic jangan harap sih😅,0,train
Tumben si botak ga Buka baju,Tumben si botak ga Buka baju,0,train
"01:16 Gak nyangka,🀄ℙℝ𝕆𝔹𝔼𝕋855🀄sekeren ini! Visualnya ciamik, ceritanya penuh hikmah, untungnya luar biasa!💯","[NUM]:[NUM] Gak nyangka,🀄PROBET855🀄sekeren ini! Visualnya ciamik, ceritanya penuh hikmah, untungnya luar biasa!💯",1,train
aman ketua.. hero menang di akhir season😂,aman ketua.. hero menang di akhir season😂,0,train
Lawan nya navi dek,Lawan nya navi dek,0,train
"Senang banget lihat tim ini pulang duluan hehehe, lokal mah lokal aja","Senang banget lihat tim ini pulang duluan hehehe, lokal mah lokal aja",0,train
"Gue baru aja dari 𝑰𝑺𝑻𝑨𝑵𝑨𝑩𝑬𝑻17❤️, eh nemu ini","Gue baru aja dari ISTANABET17❤, eh nemu ini",1,train
aneh,aneh,0,train
Hahahahahaha,Hahahahahaha,0,train
14:10 Terus berkembang arhan semangattt!!!!! Salam 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵! gampang Jepe,[NUM]:[NUM] Terus berkembang arhan semangattt!!!!! Salam BERKAH99! gampang Jepe,1,train
Drak sistem di mpl ken😂,Drak sistem di mpl ken😂,0,train
Ngobrol santai di tongkrongan pasti ada nyelip kata ＰＵＬＡＵＷＩＮ.,Ngobrol santai di tongkrongan pasti ada nyelip kata PULAUWIN.,1,train
Rrq tai pinda gua ke onic aj tim sampah,Rrq tai pinda gua ke onic aj tim sampah,0,train
Padahal dyren uda open vision bukannya adu retri malah dibiarin mati sia sia dyren sigebukin sekampung,Padahal dyren uda open vision bukannya adu retri malah dibiarin mati sia sia dyren sigebukin sekampung,0,train
RRQ SEKARANG KACAU GAK KAYAK DULU ZUNES HAYPER SAMPAH,RRQ SEKARANG KACAU GAK KAYAK DULU ZUNES HAYPER SAMPAH,0,train
Capeeeekkkk😅😅😅,Capeeeekkkk😅😅😅,0,train
"JP datang silih berganti di 𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕, lagi hoki tingkat dewa nih!","JP datang silih berganti di DORA77, lagi hoki tingkat dewa nih!",1,train
Bru 47 like,Bru [NUM] like,0,train
live lah ko.,live lah ko.,0,train
​@Yamal-h8oga peduli mau ada yeb atau enggak yg penting juara gk kayak ppq😂,[MENTION]-h8oga peduli mau ada yeb atau enggak yg penting juara gk kayak ppq😂,0,train
Kadaltua,Kadaltua,0,train
Player gblk kekkgitu lebih jagoan huzzle,Player gblk kekkgitu lebih jagoan huzzle,0,train
Bahagia banget bKent😂,Bahagia banget bKent😂,0,train
5:41 mana link musiknyaa woii,[NUM]:[NUM] mana link musiknyaa woii,0,train
Bru kali ini si bkent satu 1 game marah aja kerjanya 😂😂😂,Bru kali ini si bkent satu [NUM] game marah aja kerjanya 😂😂😂,0,train
Sabit sama tukulnya anda,Sabit sama tukulnya anda,0,train
Pantes di channel antb Joel ga nongol lg,Pantes di channel antb Joel ga nongol lg,0,train
Dut sibadut,Dut sibadut,0,train
Kangen bgt sumpah sma bkent,Kangen bgt sumpah sma bkent,0,train
"Ril omongan idok ""yang lain boleh kalah, asal jngan sama EVOS"" ah kocak bner dah","Ril omongan idok ""yang lain boleh kalah, asal jngan sama EVOS"" ah kocak bner dah",0,train
Pertama ketua dedegemesh,Pertama ketua dedegemesh,0,train
Absen yang suka buff,Absen yang suka buff,0,train
yang belum rasain maxwin𝔾𝔸 ℝ𝕌 𝔻𝔸 ℍ𝕆 𝕂𝕀..Sudah Pasti Jepe,yang belum rasain maxwinGA RU DA HO KI..Sudah Pasti Jepe,1,train
anjay joell,anjay joell,0,train
Masih ada sampaah,Masih ada sampaah,0,train
Jangan rasis ygy😅😅😅,Jangan rasis ygy😅😅😅,0,train
@jefryarvandy elu paham kan kata kata gua indopride itu apa?,[MENTION] elu paham kan kata kata gua indopride itu apa?,0,train
​@Steven_Intrepide1lah skrg gada yeb #1 buta kah? owkaowkwwk,[MENTION] skrg gada yeb #[NUM] buta kah? owkaowkwwk,0,train
Tolollu,Tolollu,0,train
Gaji UMR menangis melihat YouTuber :),Gaji UMR menangis melihat YouTuber :),0,train
Katanya kamis irl,Katanya kamis irl,0,train
​@johahahanwajar...masih epig dia,[MENTION]...masih epig dia,0,train
"Si sayur medok banget... Udah kaya bumbu gado""...😂","Si sayur medok banget... Udah kaya bumbu gado""...😂",0,train
CUKI MAY,CUKI MAY,0,train
😁🤣🤣,😁🤣🤣,0,train
"Alhamdulillah, 💓𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi lebih bermakna. Ceritanya inspiratif, hadiahnya generous, visualnya bikin betah. Ayo join sekarang! 🙏","Alhamdulillah, 💓MONA 4D🔴 bikin hiburan jadi lebih bermakna. Ceritanya inspiratif, hadiahnya generous, visualnya bikin betah. Ayo join sekarang! 🙏",1,train
Dah MLS nonton RRQ semenjak New era sering kalah,Dah MLS nonton RRQ semenjak New era sering kalah,0,train
omongan idok terkabul😂,omongan idok terkabul😂,0,train
Jadi mls komen,Jadi mls komen,0,train
"Rank sih turun, tapi mental yang paling hancur 😂","Rank sih turun, tapi mental yang paling hancur 😂",0,train
"​@EkoWahyu-i1ymau proses terus sampe kapan.,kalo udh ada jungler bagus tinggal sabar eh malah ganti jungler warkop.,expe bagus juga sama diganti xpe warkop.,coba aja ganti pelatih nya yg percaya proses🤭","[MENTION]-i1ymau proses terus sampe kapan.,kalo udh ada jungler bagus tinggal sabar eh malah ganti jungler warkop.,expe bagus juga sama diganti xpe warkop.,coba aja ganti pelatih nya yg percaya proses🤭",0,train
"Kenapa akhir² ini lu sering pake thumbnail yang lama sih ketua? Gw kangen video lu yang dulu lebih lucu dan menghibur kebanding sekarang yang lebih fokus ke sawerian daripada gameplay Miya nya, ayolah comeback kembali ketua🔥😎","Kenapa akhir2 ini lu sering pake thumbnail yang lama sih ketua? Gw kangen video lu yang dulu lebih lucu dan menghibur kebanding sekarang yang lebih fokus ke sawerian daripada gameplay Miya nya, ayolah comeback kembali ketua🔥😎",0,train
"Grafis 𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕keren banget, bikin betah main!","Grafis DORA77keren banget, bikin betah main!",1,train
"Dia udh ga cari cuan disini ,,udh kaya dia skr punya banyak usaha","Dia udh ga cari cuan disini ,,udh kaya dia skr punya banyak usaha",0,train
Klw spell inspire sakit juga y bg,Klw spell inspire sakit juga y bg,0,train
Senang banget bisa dapet rezeki hari ini dari 𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕!,Senang banget bisa dapet rezeki hari ini dari DORA77!,1,train
"dia kalah sengaja tot , gausah ngajarin","dia kalah sengaja tot , gausah ngajarin",0,train
wkwkww sehat sehat ya bang kent,wkwkww sehat sehat ya bang kent,0,train
Respect buat ketua atas kejadian tadi,Respect buat ketua atas kejadian tadi,0,train
Buset lama amat 2season,Buset lama amat 2season,0,train
Wkwkwkwk😂 ELBADUTT,Wkwkwkwk😂 ELBADUTT,0,train
Botak tempramental😂,Botak tempramental😂,0,train
Bang pascol wkwkwk🤣🤣🤣,Bang pascol wkwkwk🤣🤣🤣,0,train
7:15 moment cuma EVOS,[NUM]:[NUM] moment cuma EVOS,0,train
BG pascol,BG pascol,0,train
𝙿𝚄𝙻𝙰𝚄𝚆𝙸𝙽 jadi bahan obrolan random di basecamp.,PULAUWIN jadi bahan obrolan random di basecamp.,1,train
Kapan bang pascol banting bating kursi lagi ya?😢,Kapan bang pascol banting bating kursi lagi ya?😢,0,train
"Nah gini dong, sparing sama propeler😂😂😂","Nah gini dong, sparing sama propeler😂😂😂",0,train
editor bingung ngasih judul,editor bingung ngasih judul,0,train
Kelazz kingg,Kelazz kingg,0,train
𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕menawarkan lingkungan yang merangsang dan menginspirasi.,DORA77menawarkan lingkungan yang merangsang dan menginspirasi.,1,train
"Elu cuma bisa disiksa doang botak, buat review dongok lu botak🤣🤣🤣🤣","Elu cuma bisa disiksa doang botak, buat review dongok lu botak🤣🤣🤣🤣",0,train
"Jadi Hero andalan Pascol, Miya, dianggap salah juga?","Jadi Hero andalan Pascol, Miya, dianggap salah juga?",0,train
Merasa sangat bahagia dan bersyukur bisa mendapatkan rezeki yang berkah dari 𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕!,Merasa sangat bahagia dan bersyukur bisa mendapatkan rezeki yang berkah dari DORA77!,1,train
"ketua aku gak takut sama siapa2, tapi ketua ku takut sama musho 🥲","ketua aku gak takut sama siapa2, tapi ketua ku takut sama musho 🥲",0,train
Sticker HP anak muda sekarang ada desain 🄿🅄🄻🄰🅄🅆🄸🄽.,Sticker HP anak muda sekarang ada desain PULAUWIN.,1,train
"Tetap semangat bkent dan RRQ, ingat dibalik kekalahan ini masih ada kekalahan berikutnya 😆","Tetap semangat bkent dan RRQ, ingat dibalik kekalahan ini masih ada kekalahan berikutnya 😆",0,train
"Gokil! JP lagi dan lagi di 𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕, rezeki emang lagi sayang banget!","Gokil! JP lagi dan lagi di DORA77, rezeki emang lagi sayang banget!",1,train
Anjay botak sanrio,Anjay botak sanrio,0,train
Wkwk mampus,Wkwk mampus,0,train
Respect king.,Respect king.,0,train
"Horas ketua nami ,, shalom ,, boha do kondisi 😢😢songon na mago ho sian YouTube on 😂😢😅","Horas ketua nami ,, shalom ,, boha do kondisi 😢😢songon na mago ho sian YouTube on 😂😢😅",0,train
ALAYY CAPTION NYA 🤮,ALAYY CAPTION NYA 🤮,0,train
"Dyren mnyerah,hoby war tp team nya pda jga jrak..pkai 2hero culik tp g bs d mksimalkan","Dyren mnyerah,hoby war tp team nya pda jga jrak..pkai 2hero culik tp g bs d mksimalkan",0,train
"Gak ada yang ngalahin reaction ini! Tapi kalo soal cuan, 𝐖𝐄𝐓𝐎𝐍-𝟖𝟖 juaranya! 🏆💎","Gak ada yang ngalahin reaction ini! Tapi kalo soal cuan, WETON-[NUM] juaranya! 🏆💎",1,train
ketua kapan live lgi,ketua kapan live lgi,0,train
Pengaruh patch kayanya,Pengaruh patch kayanya,0,train
Anak kecil pun udah tau nama ⚡️PULAUWIN⚡️ dari YouTube Shorts.,Anak kecil pun udah tau nama ⚡PULAUWIN⚡ dari YouTube Shorts.,1,train
Ler tlong ler😂😂😂😂,Ler tlong ler😂😂😂😂,0,train
"Tarik terus tiap hari, maxwin mulu! buruan daftar sekarang OMETOTO","Tarik terus tiap hari, maxwin mulu! buruan daftar sekarang OMETOTO",1,train
"Semangat terus bg pascol, sehat"" And have fun","Semangat terus bg pascol, sehat"" And have fun",0,train
Hahaha cipok aj kenn,Hahaha cipok aj kenn,0,train
​@Steven_Intrepide1AWOKWOK PPQ KALAH 😂,[MENTION] PPQ KALAH 😂,0,train
wajar mereka pionir brok,wajar mereka pionir brok,0,train
17:06 😂😂😂,[NUM]:[NUM] 😂😂😂,0,train
Cakep Kali 𝐓𝐈𝐌𝐎𝟒𝐃,Cakep Kali TIMO4D,1,train
𝐀⁠⁠𝐄‌‌𝐑‌𝐎⁠𝟖⁠𝟖 Suaranya adem banget.,AERO88 Suaranya adem banget.,1,train
pertamaa,pertamaa,0,train
Pengen bikin konten juga? Lihat inspirasi dari Pᴜʟᴀᴜᴡɪɴ aja!,Pengen bikin konten juga? Lihat inspirasi dari Pᴜʟᴀᴜᴡɪɴ aja!,1,train
Gua liatnya kayak arter igo lawan  bocah rangked,Gua liatnya kayak arter igo lawan bocah rangked,0,train
"01:12, scene ini bikin merinding  !!🤎𝐏𝐑𝐎𝐁𝐄𝐓 𝟖𝟓𝟓🤎","[NUM]:[NUM], scene ini bikin merinding !!🤎PROBET [NUM]🤎",1,train
Gada yang mau,Gada yang mau,0,train
​@DewiBintang_123bacot,[MENTION],0,train
Ya kalau disenggol duluan disenggol balik lah ya kan,Ya kalau disenggol duluan disenggol balik lah ya kan,0,train
Gass terus,Gass terus,0,train
"kerang tua, kalo hidung pesek kan orang2nya ganteng2 dan cantik2 ini kenapa kerang tua pesek lehernya ya?","kerang tua, kalo hidung pesek kan orang2nya ganteng2 dan cantik2 ini kenapa kerang tua pesek lehernya ya?",0,train
Susah bgt kyanya rrq dapet piala international😂  ngapain itu push MMR granger wkwkw,Susah bgt kyanya rrq dapet piala international😂 ngapain itu push MMR granger wkwkw,0,train
wowwww pertama,wowwww pertama,0,train
"Suka banget liat proses di balik layar kayak gini,🏴‍☠️𝓟𝓡𝓞𝓑𝓔𝓣855🏴‍☠️Jadi makin respect sama usaha dan kerja keras yang ada di balik tiap detik video yang ditonton.Detail kecil-kecilnya tuh ternyata dipikirin banget, salut!! Terus berkarya ya, makin keren ke depannya!💯","Suka banget liat proses di balik layar kayak gini,🏴☠PROBET855🏴☠Jadi makin respect sama usaha dan kerja keras yang ada di balik tiap detik video yang ditonton.Detail kecil-kecilnya tuh ternyata dipikirin banget, salut!! Terus berkarya ya, makin keren ke depannya!💯",1,train
